issue_key,design_decision_types,project,issue_id,votes,parent_key,parent_summary,has_parent,summary,description,raw_text,cleaned_text,token_list,issue_type,status,priority,reporter,assignee,created_date,updated_date,resolution_date,labels,components,fix_versions,comments,number_of_comments,comment_dates,comment_developers,bot_comment_count,human_comment_count,has_bot_comments,attachments,number_of_attachments,attachment_dates,attachment_files,has_attachments
YARN-10650,True False False,YARN,13360551,0,,,False,"Create dispatcher metrics interface, and apply to RM async dispatcher.","It is needed for us to add dispatcher metrics interface.

And will apply to RM async dispatcher first.",,,,Improvement,Resolved,Major,Qi Zhu,Qi Zhu,2021-02-24T08:22:59.221+0000,2026-06-24T21:03:14.072+0000,2021-03-10T14:04:08.102+0000,pull-request-available,,,,5,"['2021-02-24T08:31:55.351+0000', '2021-02-24T12:29:13.876+0000', '2025-12-04T00:24:36.780+0000', '2025-12-05T00:24:40.800+0000', '2026-06-24T21:03:13.742+0000']","['Qi Zhu', 'Hadoop QA', 'ASF GitHub Bot', 'ASF GitHub Bot', 'ASF GitHub Bot']",,,,,0,[],[],False
YARN-11025,True True False,YARN,13414673,1,,,False,Implement distributed decommissioning,"This Jira proposes to add support for accepting request from disributed sources for putting nodes in decomissioning state. 

It proposes to add configurable provider and consumer class interface in nodemanager. NM can receive request to put node in decomissioning from any distributed sources using the provider class implementation and consumer classes can utilize it to set node status. 

Corresponding changes will be done at RM side to update node staate while update event is called at DecomissioningNodesWatcher.",,,,New Feature,Open,Major,Minni Mittal,Minni Mittal,2021-12-01T05:57:11.682+0000,2025-11-20T00:23:25.029+0000,,pull-request-available,,,,2,"['2025-11-19T00:34:50.376+0000', '2025-11-20T00:23:24.835+0000']","['ASF GitHub Bot', 'ASF GitHub Bot']",,,,,0,[],[],False
YARN-11005,True False False,YARN,13411350,0,YARN-11002,Resource-aware Opportunistic Container Allocation,True,Implement the core QUEUE_LENGTH_THEN_RESOURCES OContainer allocation policy,"This sub-task contains the bulk of the work that will implement the new resource-aware Opportunistic container allocation policy {{QUEUE_LENGTH_THEN_RESOURCES}}.
The core tasks here are to:
# Allow {{ClusterNode}} to be allocated resource-aware using information from {{RMNode}},
# Add the {{QUEUE_LENGTH_THEN_RESOURCES}} {{LoadComparator}},
# Implement the new sorting logic and the logic to determine whether a node can queue Opportunistic containers in case the {{QUEUE_LENGTH_THEN_RESOURCES}} policy is chosen, and
# Modify {{NodeQueueLoadMonitor.selectAnyNode}} to be request-resource-aware.",,,,Sub-task,Resolved,Minor,Andrew Chung,Andrew Chung,2021-11-11T19:39:58.322+0000,2021-12-08T18:02:48.911+0000,2021-12-08T18:02:48.905+0000,pull-request-available,resourcemanager,3.4.0,,0,[],[],,,,,0,[],[],False
YARN-11003,True False False,YARN,13411337,0,YARN-11002,Resource-aware Opportunistic Container Allocation,True,Make RMNode aware of all (OContainer inclusive) allocated resources,"In order to facilitate resource-aware Opportunistic container allocation, we will need to pass allocated container information to {{ClusterNode}}, which in turn gets its information from {{RMNode}}.
However, {{RMNode}} currently only holds containers and node utilization based on the actual physical resource utilization, not at the allocated container level.
This sub-task aims to allow {{RMNode}} to be aware of all allocated resources on the node upon a node heartbeat.",,,,Sub-task,Resolved,Minor,Andrew Chung,Andrew Chung,2021-11-11T18:23:45.904+0000,2025-10-12T09:14:10.401+0000,2021-11-23T21:20:32.615+0000,pull-request-available,"container, resourcemanager",3.4.0,,1,['2021-11-23T21:21:02.301+0000'],['Íñigo Goiri'],,,,,0,[],[],False
YARN-11002,True True False,YARN,13411316,0,,,False,Resource-aware Opportunistic Container Allocation,"Currently, Centralized opportunistic container (OContainer) allocation only considers queue length on nodes.
However, based on production experience, we found that relying only on queue length for allocating OContainers can lead to very high queue times.

Namely, while we rely on queue length to sort the candidate nodes for OContainer allocation, the queue length used in computation can be stale/outdated, depending on node HB frequency, leading to an exceedingly high number of queued nodes. This excessive queueing can lead to queued vertices on the critical path of our jobs blocking the rest of the job's vertices. Here's an example illustrating what can happen:
Suppose an NM can run 3 containers, and has no allocated containers to start with.
AM -> RM: heartbeat, allocate 6 containers
RM.NodeQueueLoadMonitor: nothing allocated on NM now, mark 3 containers on NM as allocated to AM, 3 containers from AM outstanding.
RM -> AM: allocate 3 containers on NM
NM -> RM: heartbeat with no containers allocated
RM.NodeQueueLoadMonitor: mark 0 containers allocated on NM
AM -> NM: run 3 containers
NM ->AM : ACK, run 3 containers, no more capacity on NM
AM -> RM: heartbeat
RM.NodeQueueLoadMonitor: nothing allocated on NM now, mark 3 more containers on NM as allocated to AM (in reality, there should be 3 containers already allocated on NM, and the 3 marked in this heartbeat will be queued), no containers from AM outstanding.
RM -> AM: allocate the 3 remaining containers on NM

We've found that, if OContainers are unlucky, they can be co-located with vertices that run for an excessively long period of time, requiring them to wait a long time before they can begin to run. This led to certain jobs experiencing a > 3x increase in median run time. In these cases, it is better for the OContainer to remain un-released at the RM until NMs report available resources.

To address this, we propose a new allocation policy {{QUEUE_LENGTH_THEN_RESOURCES}}, orthogonal to the original {{QUEUE_LENGTH}} policy, that considers the available node resources when allocating OContainers.
It first sorts the candidate nodes by queue length in an ascending fashion, then by available resources.
Akin to the {{QUEUE_LENGTH}} policy, the new {{QUEUE_LENGTH_THEN_RESOURCES}} policy will still pick a random node out of a configurable K nodes for allocation.
In the case where the maximum queue length on nodes is zero, it simply waits until a node reports available resources to run OContainers.

This JIRA issue will serve as an umbrella issue that encapsulates sub-tasks for this work.",,,,New Feature,Open,Minor,Andrew Chung,Andrew Chung,2021-11-11T16:14:57.762+0000,2021-11-11T19:58:13.626+0000,,,"container-queuing, resourcemanager",,,0,[],[],,,,,0,[],[],False
YARN-10980,False True True,YARN,13407026,0,,,False,fix CVE-2020-8908,"see  [https://www.cvedetails.com/cve/CVE-2020-8908/]

 

A temp directory creation vulnerability exists in all versions of Guava, allowing an attacker with access to the machine to potentially access data in a temporary directory created by the Guava API com.google.common.io.Files.createTempDir(). By default, on unix-like systems, the created directory is world-readable (readable by an attacker with access to the system). The method in question has been marked @Deprecated in versions 30.0 and later and should not be used. For Android developers, we recommend choosing a temporary directory API provided by Android, such as context.getCacheDir(). For other Java developers, we recommend migrating to the Java 7 API java.nio.file.Files.createTempDirectory() which explicitly configures permissions of 700, or configuring the Java runtime's java.io.tmpdir system property to point to a location whose permissions are appropriately configured.",,,,Bug,Resolved,Major,lujie,,2021-10-18T10:18:11.785+0000,2021-10-18T11:20:39.684+0000,2021-10-18T10:50:04.349+0000,pull-request-available,,,,1,['2021-10-18T10:52:13.432+0000'],['lujie'],,,,,0,[],[],False
YARN-10955,True True False,YARN,13401293,0,,,False,Add health check mechanism to improve troubleshooting skills for RM,"RM is the most complex component in YARN with many basic or core services including RPC servers, event dispatchers, HTTP server, core scheduler, state managers etc., and some of them depends on other basic components like ZooKeeper, HDFS. 

Currently we may have to find some suspicious traces from many related metrics and tremendous logs while encountering an unclear issue, hope to locate the root cause of the problem. For example, some applications keep staying in NEW_SAVING state, which can be caused by lost of ZooKeeper connections or jam in event dispatcher, the useful traces is sinking in many metrics and logs. That's not easy to figure out what happened even for some experts, let alone common users.

So I propose to add a common health check mechanism to improve troubleshooting skills for RM, in my general thought, we can
 * add a HealthReporter interface as follows:
{code:java}
public interface HealthReporter {
  HealthReport getHealthReport();
}
{code}
HealthReport can have some generic fields like isHealthy(boolean), workState(enum: NORMAL/IDLE/BUSY), updateTime(long), diagnostics(string) and keyMetrics(Map<String, Object>).

 * make some key services implement HealthReporter interface and generate health report via evaluating the internal state.
 * add HealthCheckerService which can manage and monitor all reportable services, support checking and fetching health reports periodically and manually (can be triggered by REST API), publishing metrics and logs as well.",,,,Improvement,Open,Major,Tao Yang,Tao Yang,2021-09-15T08:35:59.443+0000,2025-08-24T02:09:30.469+0000,,pull-request-available,resourcemanager,,,2,"['2021-09-15T08:43:23.705+0000', '2025-08-24T02:09:30.251+0000']","['Tao Yang', 'ASF GitHub Bot']",,,,,0,[],[],False
YARN-10930,True False False,YARN,13398430,0,YARN-10888,[Umbrella] New capacity modes for CS,True,Introduce universal configured capacity vector,"The proposal is to introduce a capacity resource vector that is universally parsed for every queue. CapacityResourceVector is a way to unite the current capacity modes (weight, percentage, absolute), while maintaining flexibility and extendability.
CapacityResourceVector is a good fit for the existing capacity configs, for example:
* percentage mode: root.example.capacity 50 is a syntactic sugar for [memory=50%, vcores=50%, ....]
* absolute mode: root.example.capacity [memory=1024, vcores=2] is a natural fit for the vector, there is no need for additional settings
CapacityResourceVector will be used in a future refactor, to unify the resource calculation and lift the limitation imposed on the queue hierarchy capacity settings (eg. can not use both absolute resource and percentage in the same hierarchy etc...)",,,,Sub-task,Resolved,Major,Andras Gyori,Andras Gyori,2021-08-31T10:09:52.302+0000,2021-10-22T15:41:23.453+0000,2021-10-22T15:34:34.791+0000,pull-request-available,capacity scheduler,3.4.0,,0,[],[],,,,,1,['2021-08-31T10:35:48.199+0000'],['capacity_scheduler_queue_capacity.html'],True
YARN-10928,True False False,YARN,13398160,0,,,False,Support default queue properties of capacity scheduler to simplify configuration management,"There are many user cases that one user owns many queues in his organization's cluster for different business usages in practice. These queues often share the same properties, such as minimum-user-limit-percent and user-limit-factor. Users have to write one property for every queue they use if they want to use customized these shared properties. Adding default queue properties for these cases will simplify capacity scheduler's configuration file and make it easy to adjust queue's common properties. 
  
  CHANGES:

Add two properties as queue's default value in capacity scheduler's configuration:
 * {{yarn.scheduler.capacity.minimum-user-limit-percent}}
 * {{yarn.scheduler.capacity.user-limit-factor}}",,,,Improvement,Resolved,Major,Weihao Zheng,Weihao Zheng,2021-08-30T08:40:15.876+0000,2021-09-13T03:09:57.162+0000,2021-09-13T03:09:57.085+0000,pull-request-available,capacity scheduler,3.4.0,,6,"['2021-09-01T02:46:47.111+0000', '2021-09-01T03:13:43.462+0000', '2021-09-07T02:48:38.566+0000', '2021-09-07T16:57:03.384+0000', '2021-09-10T02:44:51.644+0000', '2021-09-13T03:09:57.153+0000']","['Tao Yang', 'Weihao Zheng', 'Tao Yang', 'Weiwei Yang', 'Tao Yang', 'Tao Yang']",,,,,0,[],[],False
YARN-10899,False True False,YARN,13397409,0,,,False,control whether non-exclusive allocation is used,"A non-exclusive partition has the advantage of increasing resource utilization.
 But, it is not useful in all use cases.

In the case of a long-running container,
 if it is allocated with non-exclusive allocation, it is more likely to be preempted and the overhead of repeating the same operation occurs.

A function that can control whether non-exclusive allocation is used from the user's point of view is required.

I suggest:
 When node label expression is empty string, only default partition without non-exclusive allocation is used,
 when node label expression is null, only it allowed non-exclusive allocation.

I will attach patch.",,,,Improvement,Patch Available,Major,KWON BYUNGCHANG,,2021-08-26T04:51:13.983+0000,2021-08-31T22:06:16.463+0000,,,,,,5,"['2021-08-26T08:26:56.215+0000', '2021-08-26T09:38:36.355+0000', '2021-08-27T05:40:28.487+0000', '2021-08-27T08:37:28.379+0000', '2021-08-31T22:06:16.463+0000']","['Hadoop QA', 'Hadoop QA', 'Hadoop QA', 'Hadoop QA', 'Eric Payne']",,,,,4,"['2021-08-26T07:38:05.576+0000', '2021-08-26T08:32:12.672+0000', '2021-08-27T04:47:09.001+0000', '2021-08-27T05:48:49.908+0000']","['YARN-10899.001.patch', 'YARN-10899.002.patch', 'YARN-10899.003.patch', 'YARN-10899.004.patch']",True
