key,existence,property,executive
YARN-10650,True,False,False
YARN-11025,True,True,False
YARN-11005,True,False,False
YARN-11003,True,False,False
YARN-11002,True,True,False
YARN-10980,False,True,True
YARN-10955,True,True,False
YARN-10930,True,False,False
YARN-10928,True,False,False
YARN-10899,False,True,False
YARN-10898,True,False,False
YARN-10889,True,False,False
YARN-10843,True,False,False
YARN-10835,True,False,False
YARN-10790,True,False,False
YARN-10782,True,False,False
YARN-10759,True,False,False
YARN-10758,True,False,False
YARN-10755,True,False,False
YARN-10738,True,True,False
YARN-10714,True,False,False
YARN-10655,False,True,False
YARN-10623,True,False,False
YARN-10621,True,False,True
YARN-10617,True,False,False
YARN-10598,True,False,False
YARN-10585,True,False,False
YARN-10581,True,False,False
YARN-10579,True,False,False
YARN-10571,True,False,False
YARN-10564,True,False,False
YARN-10546,True,False,False
YARN-10534,True,False,False
YARN-10524,True,False,False
YARN-10521,True,False,False
YARN-10514,True,True,False
YARN-10512,True,False,False
YARN-10505,True,False,False
YARN-10496,True,False,False
YARN-10493,True,True,False
YARN-10478,True,False,False
YARN-10473,True,False,False
YARN-10449,True,False,False
YARN-10436,True,False,False
YARN-10433,True,False,False
YARN-10432,True,False,False
YARN-10431,True,True,False
YARN-10422,True,False,False
YARN-10421,True,False,False
YARN-10406,True,True,False
YARN-10389,True,False,False
YARN-10384,True,False,False
YARN-10376,True,False,False
YARN-10375,True,False,False
YARN-10374,True,False,False
YARN-10370,True,False,False
YARN-10043,False,True,False
YARN-10352,True,False,False
YARN-10335,True,True,False
YARN-10333,True,False,False
YARN-10323,True,True,False
YARN-10311,True,False,False
YARN-10304,True,False,False
YARN-10292,True,False,False
YARN-10281,True,False,False
YARN-10276,False,True,False
YARN-10246,True,False,False
YARN-10238,True,True,False
YARN-10229,True,False,False
YARN-10216,True,False,False
YARN-10028,True,False,False
YARN-10214,True,False,False
YARN-10181,True,False,False
YARN-10162,True,False,False
YARN-10126,True,False,False
YARN-10114,True,False,False
YARN-10101,True,False,False
YARN-10100,True,False,False
YARN-10099,True,False,False
YARN-10096,True,False,False
YARN-10094,False,True,False
YARN-10079,False,True,False
YARN-10062,True,False,False
YARN-10039,True,False,False
YARN-10032,True,False,False
YARN-10031,True,True,False
YARN-10022,True,False,False
YARN-9927,True,True,False
YARN-9936,True,False,False
YARN-9926,True,True,False
YARN-9923,True,False,False
YARN-9916,True,True,False
YARN-9904,True,False,False
YARN-9899,True,False,False
YARN-9897,True,False,True
YARN-9879,True,False,False
YARN-9848,False,True,False
YARN-9809,True,False,False
YARN-9805,True,True,False
YARN-9748,True,False,False
YARN-9726,True,False,False
YARN-9802,True,False,False
